college,academic_year,term,course_code,section,course_name,instructor,time,url,category
The University of the South,2021-22,F,CSCI 157,A,Introduction to Modeling and Programming,L Dale,TR 0930-1045 R 1400-1700; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-semester-2021&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2021-22,F,CSCI 270,A,Computer Systems and Organization,S Carl,TR 1100-1215; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-semester-2021&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer architecture
The University of the South,2021-22,F,CSCI 320,A,Analysis of Algorithms,L Dale,MWF 0900-0950; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-semester-2021&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2021-22,F,CSCI 326,A,Functional Programming,S Carl,MW 1400-1515; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-semester-2021&school=college-of-arts-sciences-2&subject=computer-science&track=,Programming languages
The University of the South,2021-22,S,CSCI 157,A,Introduction to Modeling and Programming,S Carl,MWF 1000-1050 R 1330-1630; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2021-22,S,CSCI 257,A,Data Structures,L Dale,MWF 0900-0950; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2021-22,S,CSCI 284,A,Database Design with Web Applications,L Dale,TR 0930-1045; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Databases
The University of the South,2021-22,S,CSCI 415,A,Special Topics: Parallel and Distributed Computing,S Carl,MW 1400-1515; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Distributed systems
The University of the South,2022-23,F,CSCI 157,A,Introduction to Modeling and Programming,D Drinen,TR 0930-1045; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=advent-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2022-23,F,CSCI 157,L1,Introduction to Modeling and Programming,D Drinen,W 1530-1645; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=advent-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2022-23,F,CSCI 270,A,Computer Systems and Organization,S Carl,TR 1100-1215; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer architecture
The University of the South,2022-23,F,CSCI 276,A,Multimedia Programming and Design,S Carl,TR 1330-1445; duPont Library G31,https://registrar.sewanee.edu/schedule/?term=advent-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Games & interactive art
The University of the South,2022-23,F,CSCI 320,A,Analysis of Algorithms,S Carl,MWF 1300-1350; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-semester-2022&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2022-23,S,CSCI 157,A,Introduction to Modeling and Programming,S Carl,MWF 1000-1050 T 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2023&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2022-23,S,CSCI 257,A,Data Structures,S Carl,TR 0930-1045 W 1300-1350; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2023&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2022-23,S,CSCI 284,A,Database Design with Web Applications,D Drinen,MWF 0800-0850; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2023&school=college-of-arts-sciences-2&subject=computer-science&track=,Databases
The University of the South,2022-23,S,CSCI 415,A,Special Topics: Deep Learning,S Carl,MW 1530-1645; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-semester-2023&school=college-of-arts-sciences-2&subject=computer-science&track=,Machine learning
The University of the South,2023-24,F,CSCI 157,A,Introduction to Modeling and Programming,R Sowell,MWF 1000-1050; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,F,CSCI 157,B,Introduction to Modeling and Programming,D Drinen,MWF 1300-1350; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,F,CSCI 157,L1,Introduction to Modeling and Programming,R Sowell,R 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,F,CSCI 157,L2,Introduction to Modeling and Programming,D Drinen,T 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,F,CSCI 270,A,Computer Systems and Organization,S Carl,TR 1100-1215; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer architecture
The University of the South,2023-24,F,CSCI 290,A,Data Mining,S Carl,MWF 0900-0950; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Data science
The University of the South,2023-24,F,CSCI 320,A,Data Structures and Algorithms,S Carl,MW 1400-1515; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,F,CSCI 360,A,Principles of Interactive Computer Graphics,R Sowell,MWF 1300-1350; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer graphics
The University of the South,2023-24,S,CSCI 157,A,Introduction to Modeling and Programming,R Sowell,MWF 1000-1050; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,S,CSCI 157,B,Introduction to Modeling and Programming,S Carl,TR 0930-1045; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,S,CSCI 157,L1,Introduction to Modeling and Programming,R Sowell,R 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,S,CSCI 157,L2,Introduction to Modeling and Programming,S Carl,T 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,S,CSCI 257,A,Object-Oriented Programming,R Sowell,TR 1100-1215; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,S,CSCI 257,B,Object-Oriented Programming,R Sowell,TR 0930-1045; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2023-24,S,CSCI 284,A,Database Design with Web Applications,D Drinen,MWF 0800-0850; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Databases
